run_ts_utc,experiment_name,train_cut,test_cut,test_end,model,logloss,accuracy,macro_f1,home_recall,draw_recall,away_recall,home_precision,draw_precision,away_precision,bets,hit_rate,roi,profit,avg_odds,winner_logloss,winner_roi
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.977604,0.529561,,,,,,,,1070,32.9907,0.3967,0.049,3.656,0,0
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.980066,0.523204,,,,,,,,1226,28.956,0.4069,0.0801,4.0291,0,0
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.99526,0.51494,,,,,,,,1206,27.6949,-5.9519,-1.4709,4.098,0,0
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.979294,0.535919,,,,,,,,1086,31.2155,0.8451,0.1487,3.7638,0,1
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.977604,0.529561,,,,,,,,1070,32.9907,0.3967,0.049,3.656,0,0
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.980066,0.523204,,,,,,,,1226,28.956,0.4069,0.0801,4.0291,0,0
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.99526,0.51494,,,,,,,,1206,27.6949,-5.9519,-1.4709,4.098,0,0
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.979294,0.535919,,,,,,,,1086,31.2155,0.8451,0.1487,3.7638,0,1
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.977604,0.529561,,,,,,,,1070,32.9907,0.3967,0.049,3.656,0,0
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.980066,0.523204,,,,,,,,1226,28.956,0.4069,0.0801,4.0291,0,0
2026-05-11T14:04:06.549234+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-05-12T14:37:01.063433+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.99526,0.51494,,,,,,,,1206,27.6949,-5.9519,-1.4709,4.098,0,0
2026-05-12T14:37:01.063433+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-05-12T14:37:01.063433+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.979294,0.535919,,,,,,,,1086,31.2155,0.8451,0.1487,3.7638,0,1
2026-05-12T14:37:01.063433+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.977604,0.529561,,,,,,,,1070,32.9907,0.3967,0.049,3.656,0,0
2026-05-12T14:37:01.063433+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.980066,0.523204,,,,,,,,1226,28.956,0.4069,0.0801,4.0291,0,0
2026-05-12T14:37:01.063433+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-05-12T15:35:44.548729+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.99526,0.51494,,,,,,,,1206,27.6949,-5.9519,-1.4709,4.098,0,0
2026-05-12T15:35:44.548729+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-05-12T15:35:44.548729+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.979294,0.535919,,,,,,,,1086,31.2155,0.8451,0.1487,3.7638,0,1
2026-05-12T15:35:44.548729+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.977604,0.529561,,,,,,,,1070,32.9907,0.3967,0.049,3.656,0,0
2026-05-12T15:35:44.548729+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.980066,0.523204,,,,,,,,1226,28.956,0.4069,0.0801,4.0291,0,0
2026-05-12T15:35:44.548729+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-05-12T16:10:28.727880+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.99526,0.51494,,,,,,,,1206,27.6949,-5.9519,-1.4709,4.098,0,0
2026-05-12T16:10:28.727880+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-05-12T16:10:28.727880+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.982657,0.530197,,,,,,,,1154,28.8562,0.8693,0.1743,3.9353,0,0
2026-05-12T16:10:28.727880+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.977604,0.529561,,,,,,,,1070,32.9907,0.3967,0.049,3.656,0,0
2026-05-12T16:10:28.727880+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.980765,0.523204,,,,,,,,1271,30.0551,2.2724,0.5009,3.9004,0,1
2026-05-12T16:10:28.727880+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-05-20T11:16:03.309715+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.99526,0.51494,,,,,,,,1206,27.6949,-5.9519,-1.4709,4.098,0,0
2026-05-20T11:16:03.309715+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-05-20T11:16:03.309715+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.982657,0.530197,,,,,,,,1154,28.8562,0.8693,0.1743,3.9353,0,0
2026-05-20T11:16:03.309715+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.977604,0.529561,,,,,,,,1070,32.9907,0.3967,0.049,3.656,0,0
